"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1.1. Formação Florestal","20072.561895654904","19381.142308916937","18261.96229722887","17858.483990295786","17038.022423956914","16731.51867932789","17334.873972418864","17113.50376778608","16332.801112536936","14539.44390759898","14729.036314447098","14644.023909619187","14524.240131012028","13524.537402355989","12946.834734887576","12922.557841717651","12265.982465435844","11599.93997260147","12376.262678540234","12322.94467245505","12362.594290002657","12461.46021913462","12332.685924505638","11911.976443530486","11697.292476019513","11798.833391558946","11718.907894025097","11337.302740698555","11133.684735400726","10849.513762024217","10514.437669909898","10360.921130517683","10374.318502356116","10116.231534033177","10047.0218315919","10103.28853130482","9559.516249743825","9222.486920721645"
"1.2. Formação Savânica","872.7819229492166","724.8903033935507","617.3673476928702","546.2806093139639","505.7363886291496","500.5563094360339","600.6671706848122","631.6573000854469","550.0334299621568","487.3406182128894","512.4351705871566","564.3224785461409","557.2671322448715","488.32152941284","462.86995362548674","499.6647482849104","487.0720467285138","455.9037359130848","439.20383559570234","452.688126715087","467.3336979064928","463.1374703613263","452.5102856323228","448.8488808105453","454.0291121459943","440.90208786620974","439.1157942932116","456.0815921447736","498.05516772460743","525.2936836853002","521.7214454650857","524.4007009216283","529.9375535583474","509.75514500732186","488.76801265258604","484.57046526489063","417.3242631469721","314.17647268676757"
"1.3. Mangue","8083.280310308781","8058.273895660358","7976.380437731867","7920.740709747281","8008.61854963376","8238.584577893062","8345.574419946324","8351.469721185293","8355.846428582747","8381.032201202359","8437.385752136153","8504.990202935762","8546.425605004913","8540.80015471804","8470.517161132762","8432.919752416965","8396.125248431383","8349.95595385132","8374.15835058594","8391.306586932358","8396.130840704307","8413.366804345667","8459.000828076189","8469.539134838878","8493.025653741439","8440.159242846654","8423.193354595904","8421.586183758502","8421.139060241703","8426.856491870087","8482.583427587886","8508.124536560055","8504.284107434067","8504.284172772203","8531.431961090087","8539.737016625977","8571.441499304192","8616.7190480957"
"1.4. Floresta Alagável","8095.179531353758","8266.381332348632","8180.288895709251","8091.7840580139255","8159.480209411625","8131.973572052013","8193.507238940452","7936.299740441879","8036.955203594969","8026.958524292015","8054.910481243908","7937.382041387954","7909.521236224356","7499.952947161839","7458.611295672588","7783.425535675063","7668.402586352508","7447.816550036585","7590.256344171135","7678.936228662107","7718.140054760708","7849.510723394762","7875.857555920395","7759.225376147427","7798.343042034859","7850.9426650878495","7852.54936785887","7753.683214300509","7753.505221966522","7607.221232391352","7419.228400353952","7399.312306256065","7415.566734918184","7319.921675915518","7309.294082861299","7358.234287457263","7101.2978028137195","6686.922851043715"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.1. Campo Alagado e Área Pantanosa","1561.0200126586917","1389.4577747253413","1451.88490231323","1639.5221463500957","1531.8141771118167","1574.502468292237","1551.8191241638153","1806.622685137939","1592.0057965515107","1493.1385445190451","1433.303621533204","1478.673963311767","1372.4814427001938","1657.2027915222207","1551.3697539184584","1336.7575211303702","1357.2973377502428","1448.7494316833502","1485.9905616699218","1410.6155978515628","1366.1409346252437","1313.7154967468268","1307.551418005371","1360.5988389831548","1308.9777840820327","1236.8163637573239","1233.7792853759772","1257.6257338500986","1066.3270850769024","1002.2033464660647","1035.5145087463359","997.1123442565895","938.2589419311485","958.7982203002904","1089.1832175292927","1112.8475339294403","1091.4160267394952","986.2937940307555"
"2.2. Formação Campestre","3075.5206395691216","2548.941185382089","1936.4580693359435","1767.219088928232","1701.6667620727603","1473.3935679748565","1435.3465273559586","1482.8603888916002","1477.2371066345172","1339.1646028015098","1300.7600899047814","1387.8418652221671","1250.3075005676221","1060.7906830505308","976.4825937866153","1049.3623507690368","1035.4299805602989","1015.9605036132762","912.3628173034658","902.5409892395011","918.3480070434534","899.7711992004353","843.9542244079582","821.0924986755367","808.1432378417977","791.7991658508297","781.4394202697737","723.0322688537576","731.2487044128403","751.7901503967267","738.8403470336904","755.988070013427","797.0692463928195","765.9008371520979","747.324985644531","741.5193996276862","648.9101983032216","89.12892799072263"
"2.3. Apicum","149.57972945556642","155.83051500244142","154.22315789184572","160.47416050415035","158.5989786621094","158.0632768676758","158.86709242553715","160.3851090637207","159.75995320434566","160.47442058105466","165.47533551025379","173.6012444458009","170.65431735839843","165.20687235107422","168.4216463867187","174.49409647827153","177.08355872802727","172.52881665039058","171.01058916015626","169.93904433593755","175.4758242065431","175.65451422729504","171.993208947754","164.04516779785158","152.7041256469726","151.9003328613282","149.66733866577147","143.50544367065433","136.80777848510738","133.3249578125","132.07491262817376","132.07491828613274","130.28888280029287","128.6815144226074","125.19888757324213","122.60925941162104","123.14505427856442","108.23168115234365"
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
